# Infrared (8-1000 μm) luminosity function @ z = 8.00
# Units: log LIR [Lsun] --- log phi [/dex/Mpc^3] ---
#
# Lensing model: "prob_lensing_SISSA_c4n4m30mup135_zlv3.0.dat" with μ_min=1.25 and μ_max=20.00
#
# log LIR --- Total ---  warm (starburst) ---  cold (spiral) ---  type-1 AGN ---  type-2 AGN ---  stellar spheroids ---  agn spheroids ---  global spheroids ---  lensed spheroids (global) --- 
#
# ----------------------------------------------------------------
    5.00000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.10000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.20000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.30000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.40000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.50000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.60000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.70000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.80000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    5.90000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.00000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.10000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.20000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.30000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.40000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.50000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.60000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.70000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.80000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    6.90000000   -254.50863831   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -254.95860731   -254.95860731   -254.95860731   -254.95860731
    7.00000000   -254.88605665   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000
    7.10000000   -194.26543534   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -193.47376434   -194.26543534   -255.69897000
    7.20000000     -9.03384326   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.87441673     -9.03384326   -160.01067534
    7.30000000     -8.96673171   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.82898159     -8.96673171    -23.70123567
    7.40000000     -8.88334731   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.80528129     -8.91164503    -10.08345229
    7.50000000     -8.83361005   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.78961794     -8.86500129     -9.99018694
    7.60000000     -8.81120604   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.78962621     -8.84561136     -9.92945391
    7.70000000     -8.80108305   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.79408564     -8.83777177     -9.89255001
    7.80000000     -8.81641125   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.80562518     -8.85621612     -9.87400972
    7.90000000     -8.84237911   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.81937218     -8.88446627     -9.87688750
    8.00000000     -8.88742003   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.83677401     -8.93220654     -9.89625789
    8.10000000     -8.94049661   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.85481340     -8.98742604     -9.93008904
    8.20000000     -9.00854612   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.87387243     -9.05807678     -9.97598627
    8.30000000     -9.08365296   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.89327791     -9.13516768    -10.03500874
    8.40000000     -9.17278674   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.91325418     -9.22686168    -10.10433195
    8.50000000     -9.26325120   -255.69897000   -255.69897000   -255.69897000   -255.69897000   -255.69897000     -5.93341898     -9.31879152    -10.18390136
