,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
13667,150.1029663,2.3243861,1,0.01473,2299420000.0,0.3976,0.0910531,0.186056,0.3192,0,,
13668,150.0968781,2.3232675,1,0.006894,45973900000.0,1.5494,0.401317,1.68793,4.36369,0,,
13671,150.0890961,2.3244219,1,0.001278,388956000.0,0.5018,0.359366,0.705094,1.02919,0,,
13673,150.0478058,2.3234067,1,0.006886,4112040000.0,0.6634,0.400649,1.30034,4.78206,0,,
13674,150.2195892,2.324856,1,0.01241,291215000000.0,2.7122,0.244044,0.228627,0.13749,0,,
13678,150.1108551,2.3244095,1,0.01841,77075300000.0,1.3348,0.366604,0.595354,0.877324,0,,
13680,150.072113,2.3240266,1,0.008243,71954000000.0,2.1196,1.1,1.82716,2.64809,0,,
13684,150.2101898,2.3245924,1,0.009254,12601300000.0,0.988,0.356603,0.501276,0.488311,0,,
13685,150.1739502,2.3236248,1,0.01447,4971290000.0,0.528,0.572654,1.20297,1.82482,0,,
13693,150.1044769,2.324928,1,0.01136,2457420000.0,0.4498,0.0794429,0.150449,0.21675,0,,
13694,150.1124878,2.3234904,1,0.003278,5972690000.0,1.0815,0.254248,0.791009,1.78339,0,,
13695,150.2090759,2.3241878,1,0.01528,358562000000.0,2.7217,0.55385,1.2905,2.84988,0,,
13696,150.2182312,2.3248036,1,0.018535,11987100000.0,0.6878,0.126642,0.249614,0.355037,0,,
13699,150.1167297,2.323436,1,0.001868,1563700000.0,0.7755,0.741754,2.64794,7.39572,0,,
13701,150.1834412,2.3251295,1,0.003866,169566000.0,0.2462,0.066476,0.165349,0.311139,0,,
13702,150.1704407,2.3245409,1,0.008052,49958900000.0,1.4978,0.202144,0.334017,0.40078,0,,
13705,150.1902924,2.3247871,1,0.002377,686413000000.0,4.402,0.261605,0.40786,1.91495,0,,
13706,150.1876831,2.3243237,1,0.009465,2047490000.0,0.4489,0.355666,0.540398,0.674559,0,,
13709,150.1233521,2.3241346,1,0.01334,302109000000.0,2.6892,2.47024,4.00566,5.53106,0,,
13710,150.0496826,2.3223536,1,0.002138,1209010000.0,0.6446,1.42224,9.12691,29.1122,0,,
13716,150.1979675,2.3246529,1,0.003665,1458750000.0,0.5607,0.307874,0.364418,0.5436,0,,
13718,150.0453491,2.3241551,1,0.04781,55265200000.0,0.9268,1.11161,2.58414,6.55015,0,,
13721,150.0808868,2.3240259,1,0.01681,55884700000.0,1.2795,1.42059,2.27183,3.12776,0,,
13724,150.1876373,2.3224928,1,0.2555,1647290000000.0,1.5236,2.18157,11.3256,54.5419,0,,
13726,150.2139435,2.3247416,1,0.01011,28354700000.0,1.2285,0.262094,0.648261,1.51639,0,,
13727,150.0666504,2.3243093,1,0.01233,115652000000.0,2.2035,1.30224,2.09846,2.73354,0,,
13732,150.1525269,2.3253288,1,0.01885,1129300000.0,0.2792,0.187129,0.322621,0.36554,0,,
13733,150.1270905,2.3248205,1,0.01058,2374600000000.0,3.9153,0.663296,1.07967,1.26445,0,,
13734,150.143158,2.3250103,1,0.004237,52273300000.0,2.3895,0.206696,0.397077,0.383494,0,,
13737,150.2152863,2.3248422,1,0.006561,5232120000.0,0.7595,0.269543,0.554039,0.805118,0,,
13740,150.0753021,2.3247204,1,0.0201,134040000000.0,1.5568,0.836408,1.21495,1.6055,0,,
13742,150.0496674,2.3246045,1,0.01087,6146830000.0,0.6499,0.166419,0.767471,1.6937,0,,
13743,150.2267303,2.3249238,1,0.03657,254596000000.0,1.8078,0.529735,1.06755,2.68699,0,,
13745,150.2334442,2.3251288,1,0.005675,7070020000.0,0.9618,0.507478,0.783432,0.812787,0,,
13747,150.1183929,2.3234408,1,0.001167,1021340000.0,0.7944,0.959474,2.25897,4.22648,0,,
13748,150.2180176,2.3249927,1,0.0186,48245900000.0,1.212,0.175533,0.310047,0.525203,0,,
13751,150.044281,2.3250463,1,0.01768,12393600000.0,0.7135,0.215113,0.360301,0.562215,0,,
13755,150.1988068,2.3243616,1,0.03549,117986000000.0,1.2738,1.57735,2.26104,3.56439,0,,
13756,150.0813904,2.323277,1,0.05346,149935000000.0,1.2279,1.03659,2.7392,7.84837,0,,
13757,150.0910645,2.3251293,1,0.001715,12272200000.0,1.6872,0.346381,0.488503,0.528079,0,,
13758,150.1647034,2.3228269,1,0.09738,81516800000.0,0.7751,4.55826,10.1357,20.2633,0,,
13760,150.0657196,2.3254969,1,0.005017,35861100000.0,1.6971,0.336047,0.452268,0.320957,0,,
13761,150.0432281,2.3253028,1,0.01083,534158000000.0,3.1079,0.496716,0.678302,2.62092,0,,
13762,150.1265259,2.3254673,1,0.06333,2014850000000.0,2.8889,0.419007,0.534001,0.900553,0,,
13763,150.1105347,2.323493,1,0.009364,23518400000.0,1.1993,1.39513,8.71986,26.504,0,,
13765,150.2048798,2.3257265,1,0.01627,1890220000.0,0.3554,0.140996,0.200023,0.237555,0,,
13766,150.1351471,2.3256724,1,0.00639,39646900000.0,1.5,0.382771,0.470927,0.382376,0,,
13774,150.0925903,2.3244715,1,0.007418,35220100000.0,1.3737,2.07177,3.24563,5.12801,0,,
13776,150.1249084,2.3251693,1,0.003767,165224000.0,0.2449,0.300576,0.57025,0.856512,0,,
13781,150.1317749,2.3254154,1,0.0146,11357100000.0,0.7476,0.327865,0.590688,1.08276,0,,
13782,150.1674347,2.3258433,1,0.002679,5640010000.0,1.1308,0.182063,0.315037,0.356436,0,,
13783,150.1036682,2.3248475,1,0.01318,1377510000.0,0.3396,0.70753,1.77197,3.24587,0,,
13784,150.1997223,2.3254454,1,0.006809,7519340000.0,0.9154,0.0952848,0.256758,0.494581,0,,
13786,150.1622925,2.3260267,1,0.01165,83364800000.0,1.6823,0.230341,0.268316,0.189669,0,,
13787,150.0457611,2.3247852,1,0.01497,12531400000.0,0.7726,0.551708,0.994906,1.49044,0,,
13789,150.2293549,2.3248987,1,0.04668,58154800000.0,0.9643,1.91179,3.61439,5.98211,0,,
13791,150.1310272,2.3262093,1,0.01181,319119000.0,0.2034,0.0180756,0.115498,0.278851,0,,
13793,150.0684662,2.3233974,1,0.2618,178624000000.0,0.7031,3.23617,12.2142,41.3281,0,,
13795,150.0624695,2.3256869,1,0.002018,3222300000.0,1.0445,0.368383,0.630863,0.766047,0,,
13797,150.1192322,2.3255143,1,0.01081,1073590000.0,0.3369,0.316143,0.800246,1.53817,0,,
13801,150.0596771,2.3232541,1,0.02802,939785000.0,0.2186,4.74158,13.8985,30.0804,0,,
13802,150.1731262,2.3254006,1,0.006784,148105000000.0,2.6825,1.50734,2.5056,2.56979,0,,
13803,150.0874634,2.3254192,1,0.0181,21396900000.0,0.9394,3.62532,5.92282,7.81762,0,,
