Seq,RAJ2000,DEJ2000,Use,lmass,F24,LIR,SFR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN,l_down,l_up,160_good
9014,53.1231003,-27.8555946,1,8.77,-0.002133,-278839000000.0,-29.9,3.5493,0.133463,0.133949,0.0876594,0,,,-213116000807.45697,-351824732308.96265,0
9026,53.0799561,-27.8556499,1,9.04,-0.001956,-307779000000.0,-32.37,3.6636,0.282837,0.367853,0.30787,0,,,-235751216205.808,-387534506385.3868,0
9036,53.0966873,-27.8559132,1,8.36,0.00153,10933000000.0,1.418,1.6522,0.100463,0.123456,0.140559,0,,,7451941887.957139,14965275719.341251,0
9037,53.1276932,-27.8555527,1,7.56,0.001027,184954000.0,0.03811,0.4193,0.10535,0.221109,0.256764,0,,,117359469.00451384,271882946.3474238,0
9042,53.0688362,-27.855957,1,8.05,-0.001473,-13407700000.0,-1.306,2.1652,0.059861,0.0831779,0.0471072,0,,,-9644225820.614962,-17780448520.92483,0
9048,53.101593,-27.8555374,1,9.05,0.008874,437684000000.0,48.32,3.1071,0.175392,0.284991,0.250474,0,,,331171436465.7938,557507180841.5685,0
9054,53.1402588,-27.8557148,1,8.58,-0.019621,-156822000000.0,-16.87,2.0324,0.093542,0.141944,0.178739,0,,,-112021768801.65096,-209301605025.56165,0
9066,53.1143303,-27.8553009,1,8.57,0.006799,48159500000.0,5.555,1.7401,0.146838,0.246692,0.278685,0,,,35308064628.32673,63071998363.10753,0
9068,53.0701447,-27.8559113,1,8.99,0.002298,375326000000.0,41.19,3.701,0.0806952,0.138406,0.0574331,0,,,287688184568.4317,472277523049.3413,0
9071,53.1080017,-27.8558807,1,6.67,0.002593,164680000.0,0.0237,0.2804,0.0512663,0.0805394,0.1318,0,,,106951412.14409338,240397138.52001297,0
9100,53.0728111,-27.8555126,1,7.21,-0.005634,-879492000.0,-0.08499,0.3959,0.0546534,0.0955778,0.131728,0,,,-552161729.2058032,-1304761847.210317,0
9106,53.0527763,-27.8556747,1,8.99,-0.00117,-184101000000.0,-19.81,3.6651,0.0621455,0.116734,0.0672613,0,,,-141020806860.39304,-231801418175.5545,0
9109,53.1264725,-27.8554726,1,8.39,-0.0005228,-3545190000.0,-0.2449,1.562,0.0829281,0.130116,0.12916,0,,,-2402930286.2211466,-4877966044.41243,0
9111,53.0680771,-27.8553352,1,8.79,-0.003247,-35821200000.0,-3.464,2.3184,0.149935,0.212418,0.171699,0,,,-25947538163.24281,-47196971691.93296,0
9122,53.1146698,-27.8553677,1,8.11,0.005235,9223100000.0,1.049,1.0713,0.0384979,0.0715111,0.126613,0,,,6692593323.835996,12158962246.927746,0
9123,53.0549011,-27.8549213,1,8.12,0.008047,6892430000.0,0.8263,0.7813,0.13462,0.260062,0.399045,0,,,4923336383.195105,9174786324.647566,0
9140,53.0798836,-27.8553276,1,8.52,-0.002082,-62193500000.0,-6.456,2.8498,0.07426,0.120248,0.0904449,0,,,-41516555762.8577,-86133362428.44707,0
9143,53.0703201,-27.8549747,1,8.73,0.0008417,4539760000.0,0.6234,1.4186,0.0958214,0.174883,0.293668,0,,,3045371060.6135945,6306386903.59639,0
9155,53.1067123,-27.8552094,1,8.33,0.007713,45262400000.0,5.03,1.4654,0.0588662,0.113597,0.139268,0,,,30472481182.14103,62668022676.09615,0
9157,53.0733147,-27.8553009,1,8.66,-0.005234,-36994200000.0,-3.822,1.8807,0.12123,0.197518,0.306849,0,,,-27337966491.10472,-48095204983.79788,0
9172,53.0747528,-27.8547382,1,8.11,0.002422,2604500000.0,0.3128,0.9046,0.0541469,0.104647,0.19749,0,,,1587726196.0735302,3815966570.151012,0
9180,53.1104279,-27.8548126,1,8.34,-0.007517,-164107000000.0,-17.31,2.6809,0.161616,0.125983,0.193809,0,,,-108875147960.14072,-228574532477.6029,0
9204,53.078701,-27.8543167,1,7.74,-0.006079,-4487030000.0,-0.4517,0.7315,0.0621078,0.107345,0.21109,0,,,-3184670821.220139,-6008483375.679115,0
9245,53.0809784,-27.8540325,1,7.97,-0.000975,-1556860000.0,-0.1145,1.0408,0.0643872,0.104178,0.150009,0,,,-1126406621.6591897,-2058014310.97323,0
9266,53.1508141,-27.8538761,1,7.59,-0.003024,-495348000.0,-0.0512,0.4044,0.0133994,0.0385066,0.105399,0,,,-312236790.04853004,-732344144.2308198,0
9268,53.0768394,-27.8531017,1,9.54,0.0080007,546824000000.0,60.23,3.2321,0.163315,0.24857,0.474601,0,,,415050270578.0623,694478409921.164,0
9277,53.1455116,-27.8538551,1,8.39,-0.003565,-419425000000.0,-45.34,3.495,0.0800188,0.0691497,0.0753031,0,,,-320215075448.43506,-529756443345.7659,0
9286,53.1298027,-27.8531399,1,7.21,-0.002637,-76644300.0,-0.0008632,0.2091,0.135472,0.289773,0.381043,0,,,-46092497.23122074,-119012360.19653068,0
9303,53.1409035,-27.853653,1,8.2,-0.002723,-4961450000.0,-0.4287,1.0831,0.111098,0.172393,0.220231,0,,,-3604122802.7107816,-6534143091.33557,0
9309,53.1508675,-27.853466,1,8.49,-0.008063,-76906000000.0,-8.138,2.2181,0.0864681,0.132619,0.0976215,0,,,-55459080087.88789,-101749783714.32312,0
9312,53.0615807,-27.853466,1,8.26,0.003282,4758980000.0,0.6154,1.0097,0.0984156,0.155641,0.246472,0,,,3432306782.0213823,6309331958.203604,0
9315,53.1536255,-27.853632,1,7.72,-0.0001558,-98045900.0,0.01356,0.6812,0.0636654,0.140605,0.119607,0,,,-69076861.63304815,-132188270.44887954,0
9321,53.0930824,-27.853178,1,8.31,-0.001761,-1108210000.0,-0.1144,0.6823,0.0337785,0.126151,0.302125,0,,,-780908369.2420815,-1493883076.679636,0
9330,53.0703735,-27.8534298,1,8.35,0.0003078,2198270000.0,0.4802,1.7141,0.115849,0.160764,0.165301,0,,,1609067954.7290745,2883238045.2929816,0
9333,53.1188812,-27.8534908,1,7.63,-0.004091,-643723000000.0,-69.89,3.6604,0.0607048,0.0669225,0.0291034,0,,,-493046815118.0512,-810578136988.8516,0
9337,53.0784607,-27.8533916,1,8.29,-0.0007509,-1055140000.0,-0.0964,1.0009,0.030147,0.0837981,0.143181,0,,,-760289011.72101,-1400078705.5029275,0
9340,53.1369553,-27.8530922,1,8.24,-0.0002221,-95067500.0,0.009931,0.5722,0.085987,0.229831,0.416037,0,,,-57579615.25966992,-142317386.4043688,0
9357,53.0700417,-27.8533783,1,8.45,-0.001825,-27690700000.0,-2.697,2.4891,0.0897471,0.103174,0.117483,0,,,-20194318166.884056,-36255662259.036415,0
9378,53.1474037,-27.8532486,1,8.0,-0.004338,-10895200000.0,-1.149,1.2008,0.0344721,0.0757348,0.0872858,0,,,-7161196798.806,-15419595392.526484,0
9388,53.117691,-27.8527565,1,8.72,-0.004648,-25641000000.0,-2.612,1.4243,0.142223,0.304626,0.340239,0,,,-17208304740.335377,-35604308034.2585,0
9389,53.0892639,-27.8529263,1,8.89,0.000979,74656600000.0,8.83,3.2731,0.177674,0.175017,0.180295,0,,,56721058265.87841,94728653787.48842,0
9396,53.1443634,-27.853014,1,8.45,-0.008754,-1106810000000.0,-120.4,3.5386,0.0682474,0.0641414,0.00912172,0,,,-845752312116.8663,-1396797079821.2131,0
9413,53.0585594,-27.8524284,1,8.68,0.003159,6466460000.0,0.9038,1.121,0.168702,0.271692,0.475494,0,,,4713166029.157049,8489721794.093418,0
9425,53.0762901,-27.8520546,1,9.49,-0.0004058,-2839360000.0,0.5141,1.8571,0.418477,0.767696,1.49727,0,,,-2095618530.6686723,-3695648181.473144,0
9430,53.0817642,-27.8526459,1,8.82,2.332e-05,2743620000.0,0.7204,3.4925,0.103337,0.121068,0.147662,0,,,2094542513.434084,3465508030.305069,0
9462,53.0964432,-27.8523502,1,8.64,-0.0007557,-123426000000.0,-12.91,3.6826,0.116734,0.11912,0.259313,0,,,-94574488108.13992,-155358018086.91833,0
9494,53.0846214,-27.8520718,1,8.88,0.004799,75484300000.0,8.679,2.5087,0.130273,0.203956,0.244586,0,,,49721883991.13757,105832962273.04996,0
9499,53.1183777,-27.8519516,1,8.52,-0.002842,-19830800000.0,-1.945,1.8356,0.0872669,0.134308,0.18621,0,,,-14619317507.074522,-25839178596.626205,0
9500,53.1081161,-27.8521557,1,7.14,-0.003903,-526202000.0,-0.05245,0.3748,0.025508,0.0665649,0.102753,0,,,-326837427.9700333,-787820450.2150801,0
9513,53.0830688,-27.8517094,1,7.95,0.003871,3737200000.0,0.4554,0.8462,0.0748997,0.145432,0.236875,0,,,2261295554.406788,5513228254.918047,0
9517,53.0766563,-27.8513412,1,9.52,-0.007784,-984168000000.0,-105.5,3.5257,0.402516,0.563174,0.643875,0,,,-751843003067.1813,-1242325955161.5571,0
9521,53.1631012,-27.8520489,1,7.89,-0.0007908,-5428790000.0,-0.5222,1.5812,0.0408525,0.0629298,0.0237662,0,,,-3684213665.615375,-7461081208.449753,0
