Seq,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
21445,53.0512543,-27.7536373,1,0.1056,59715300000.0,0.6466,3.71447,9.44028,23.7935,0,,
21446,53.0498657,-27.7550259,1,0.004183,2497920000.0,0.6623,0.440345,1.97551,4.56197,0,,
21451,53.0773735,-27.755579,1,0.001287,38445200000.0,2.8441,0.499022,0.863552,1.09596,0,,
21452,53.1809578,-27.7558861,1,0.003873,27183000000.0,1.6056,0.0955527,0.173609,0.194138,0,,
21453,53.1290627,-27.7545414,1,0.009911,17461300000.0,1.0705,0.830185,1.6038,2.65176,0,,
21454,53.191391,-27.7555714,1,0.004824,16795600000.0,1.2909,0.151052,0.216491,0.246512,0,,
21459,53.0804939,-27.7539024,1,0.0628,45169100000.0,0.7212,2.3893,5.09664,10.9448,0,,
21464,53.0273819,-27.753891,1,0.06964,478074000000.0,1.5807,0.282011,2.23704,14.3781,0,,
21466,53.1906548,-27.7543278,1,0.0007639,4120140000.0,1.4128,1.09147,1.62146,1.90947,0,,
21472,53.0078545,-27.7553825,1,0.004922,58857000000.0,2.3828,0.302123,0.39211,0.469496,0,,
21474,53.191246,-27.7547741,1,0.004407,7036990000.0,1.048,0.652313,1.16239,1.79147,0,,
21480,53.0282135,-27.7555637,1,0.002148,11849600000.0,1.4306,0.231031,0.325347,0.434928,0,,
21493,53.1458778,-27.754324,1,0.003032,301121000.0,0.3345,0.516115,1.11456,1.61216,0,,
21496,53.0983429,-27.7547359,1,0.01079,17798700000.0,1.0553,0.677086,1.11948,1.41908,0,,
21502,53.0654335,-27.7542572,1,0.08001,1053020000000.0,2.4274,1.28453,3.08799,9.22981,0,,
21504,53.1183701,-27.7553272,1,0.03124,29380400000.0,0.833,0.105155,0.237988,0.510542,0,,
21506,53.1315956,-27.7551632,1,0.004691,17154200000.0,1.3041,0.0919368,0.20781,0.308898,0,,
21507,53.1716423,-27.7554893,1,0.0007002,5037770000.0,1.9129,0.0747316,0.131049,0.204199,0,,
21514,53.0784416,-27.7554188,1,0.0008393,1866170000.0,1.1554,0.103412,0.140353,0.219326,0,,
21515,53.0757332,-27.7544212,1,0.002103,33078500000.0,2.5057,0.388679,1.14258,2.36254,0,,
21517,53.1879578,-27.7551804,1,0.01628,21512600000.0,0.9792,0.110104,0.20178,0.263338,0,,
21519,53.0723038,-27.7549763,1,0.00637,44325300000.0,1.8209,0.199111,0.384354,0.468106,0,,
21530,53.1808395,-27.7548466,1,0.001319,4385000000.0,1.282,0.136666,0.247201,0.259853,0,,
21536,53.1788483,-27.7546959,1,0.0001225,911709000.0,1.9581,0.367649,0.615976,0.690259,0,,
21538,53.0212173,-27.7538719,1,0.02326,19010200000.0,0.7565,1.17602,2.31982,4.06651,0,,
21540,53.1078453,-27.7519398,1,0.01455,1601660000.0,0.407,0.698428,1.99413,8.41916,0,,
21542,53.1092529,-27.7541332,1,0.01048,1144400000000.0,3.4457,0.463208,0.539113,1.25015,0,,
21544,53.1468582,-27.7552528,1,0.01337,16656600000.0,0.9586,0.0829822,0.158688,0.103907,0,,
21545,53.2023811,-27.7543774,1,0.007809,80386300000.0,2.2741,0.304691,0.536466,0.870563,0,,
21547,53.1047478,-27.7533474,1,0.005297,3909820000.0,0.7321,1.05791,2.8073,5.92681,0,,
21548,53.1100235,-27.7547836,1,0.00491,1507230000000.0,4.6457,0.155698,0.65654,0.221045,0,,
21553,53.1184769,-27.7549839,1,0.009782,68646900000.0,1.7614,0.0334988,0.0644696,0.211601,0,,
21555,53.0825844,-27.7541332,1,0.005952,23862800000.0,1.3198,0.80107,1.47296,2.01012,0,,
21557,53.1071014,-27.7546501,1,0.001256,3154540000.0,1.1991,0.124849,0.200981,0.222059,0,,
21560,53.1473579,-27.7534885,1,0.07337,503681000000.0,1.5777,1.30681,3.14419,8.22942,0,,
21561,53.1311684,-27.7538223,1,0.004943,5843370000.0,0.9416,0.778977,1.35676,2.18593,0,,
21566,53.112812,-27.7538834,1,0.00502,68448100000.0,2.4378,0.41827,0.782564,0.957912,0,,
21568,53.0780487,-27.7539997,1,0.05354,378424000000.0,1.885,2.36845,3.29054,3.817,0,,
21570,53.1853027,-27.7539043,1,0.01699,901569000.0,0.2642,1.25961,2.00641,2.05674,0,,
21571,53.1215096,-27.7541103,1,0.01358,185164000000.0,2.4403,0.935144,1.54576,2.65077,0,,
21575,53.1477089,-27.7539959,1,0.002529,1917300000.0,0.7394,0.265598,0.587678,1.14391,0,,
21576,53.1736298,-27.7542515,1,0.003543,16186600000.0,1.3559,0.380201,0.580141,0.531568,0,,
21578,53.1098289,-27.7539215,1,0.007486,27375000000.0,1.2966,0.716665,3.24798,8.52997,0,,
21583,53.1840591,-27.7526112,1,0.003306,3908190000.0,0.9426,0.298479,1.78826,6.31469,0,,
21584,53.1745682,-27.7533684,1,0.005179,36434600000.0,1.8707,1.1695,5.41142,13.7712,0,,
21590,53.1860771,-27.752924,1,0.003925,6066260000.0,1.0286,0.929331,3.84195,11.8644,0,,
21593,53.1242485,-27.7529984,1,0.007234,19467700000.0,1.2358,0.781438,4.2161,12.3156,0,,
21595,53.1916924,-27.7535152,1,0.0471,44922700000.0,0.837,1.46399,2.87673,4.99911,0,,
21601,53.0821381,-27.7544918,1,0.009437,5635390000.0,0.6665,0.0785138,0.146129,0.240985,0,,
21602,53.105629,-27.7535667,1,0.002785,28073400000.0,2.2656,0.353001,0.574818,0.576662,0,,
21609,53.1537285,-27.7544594,1,7.956e-05,1084810000.0,2.445,0.129442,0.184067,0.183451,0,,
21616,53.1317482,-27.7535667,1,0.003633,4089340000.0,0.9178,0.48785,0.805078,1.0399,0,,
21618,53.0301018,-27.7542591,1,0.004254,447547000000.0,3.4162,0.153018,0.297985,1.02281,0,,
21625,53.0703926,-27.7541485,1,0.0005632,345011000.0,0.6705,0.146563,0.237173,0.323897,0,,
21627,53.1221428,-27.7540836,1,0.01596,113772000000.0,1.8947,0.232743,0.352516,0.450464,0,,
21630,53.0362015,-27.7522297,1,0.2205,767710000000.0,1.2766,1.77869,7.24108,33.0167,0,,
21631,53.1013908,-27.7539902,1,0.004766,56991600000.0,2.3767,0.444854,0.721494,0.769994,0,,
21634,53.1829529,-27.754324,1,0.001073,4703500000.0,1.3447,0.166055,0.226814,0.197876,0,,
21640,53.1231689,-27.7540131,1,0.002743,21256200000.0,2.0002,0.392215,0.711048,0.928768,0,,
21642,53.0881577,-27.7530231,1,0.01179,3737170000.0,0.512,0.849908,2.08901,4.52283,0,,
21643,53.0248947,-27.7520199,1,0.3814,589471000000.0,1.027,2.33181,8.03615,33.0173,0,0.0,
21646,53.1472435,-27.7541924,1,0.005411,1603440000000.0,4.5132,0.107677,0.274704,0.843445,0,,
21647,53.1884727,-27.7541447,1,0.004434,960996000000.0,3.8924,0.10526,0.17932,0.24718,0,,
21649,53.1741943,-27.7544479,1,0.002723,2668050000.0,0.8537,0.0372801,0.0598265,0.0980278,0,,
21651,53.1609459,-27.7542534,1,0.002505,1495880000.0,0.6669,0.047906,0.0826471,0.112429,0,,
21653,53.0748711,-27.7534809,1,0.0009686,141389000000.0,3.6276,0.643716,1.17356,1.28958,0,,
21655,53.0962029,-27.7525406,1,0.08778,119531000000.0,0.9752,0.776388,2.76094,10.4718,0,,
21656,53.2035027,-27.7543869,1,0.008674,27576200000.0,1.2632,0.0389336,0.0497896,0.138278,0,,
21657,53.0886497,-27.7539616,1,0.005606,39663100000.0,1.6206,0.129202,0.263665,0.394746,0,,
21658,53.1234627,-27.7531452,1,0.04466,69024000000.0,1.0377,0.394815,1.26727,3.37621,0,,
21659,53.1856194,-27.7543678,1,0.0009067,122241000.0,0.3775,0.0448913,0.0936589,0.0966056,0,,
21660,53.1154556,-27.7535286,1,0.00174,2167720000.0,0.9573,0.233045,0.516482,0.915356,0,,
