,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
7788,34.3142776,-5.2302823,1,0.006094,50115500000.0,2.0555,0.602655,1.03135,1.59607,0,,
7792,34.2628174,-5.2294116,1,0.002491,11827100000.0,1.3747,2.08207,3.73702,6.10218,0,,
7794,34.2756844,-5.2303448,1,0.002751,21987500000.0,2.025,0.419769,0.663812,1.13865,0,,
7796,34.3674278,-5.2284927,1,0.3103,708733000000.0,1.1673,4.34339,13.1667,41.8415,0,,
7797,34.3771667,-5.2282624,1,0.02696,9632800000.0,0.5443,5.40522,8.73471,13.0859,0,,
7798,34.3505135,-5.2293296,1,0.01733,50501000000.0,1.2394,1.22943,2.26325,3.47483,0,,
7801,34.36092,-5.2300963,1,0.03109,196882000000.0,1.51,0.795355,1.24424,1.71872,0,,
7803,34.3026657,-5.2306185,1,0.01969,207248000000.0,2.2857,0.0879549,0.17234,0.497911,0,,
7805,34.248764,-5.2304029,1,0.007369,1541890000000.0,3.8533,0.486583,0.703769,1.68082,0,,
7806,34.2855606,-5.2304015,1,0.01858,4026910000000.0,3.8913,0.473403,0.600811,1.50272,0,,
7807,34.3116798,-5.2309313,1,0.00576,21063300000.0,1.2981,0.06694,0.071843,0.116517,0,,
7809,34.4001846,-5.229249,1,0.02023,9632200000.0,0.5969,1.17244,3.34883,11.1039,0,,
7815,34.2309418,-5.2293944,1,0.02659,215373000000.0,2.0468,0.360948,1.04327,2.68436,0,,
7817,34.394062,-5.2307677,1,0.04481,1211170000000.0,2.78,0.126272,0.214769,0.230099,0,,
7818,34.3574905,-5.2281842,1,0.01598,8064840000.0,0.6109,2.32243,10.0749,25.5199,0,,
7820,34.3504028,-5.2286811,1,0.02022,2594840000.0,0.367,1.27514,3.90708,10.9024,0,,
7822,34.3002243,-5.2301025,1,0.002744,19103400000.0,1.8147,0.255102,0.509762,2.01335,0,,
7823,34.2576141,-5.2308254,1,0.01158,748938000000.0,3.2061,0.263564,0.371008,2.24298,0,,
7825,34.3978195,-5.2307444,1,0.01159,93876200000.0,2.0445,0.126232,0.18762,0.706873,0,,
7829,34.2825699,-5.2276988,1,0.2936,399798000000.0,0.9899,1.32971,6.244,39.6336,0,,
7830,34.2779579,-5.2272954,1,0.003597,29580800000.0,2.0638,1.38772,6.65921,17.5014,0,,
7832,34.3189621,-5.230032,1,0.01224,105327000000.0,2.1012,0.538314,0.737666,0.994297,0,,
7833,34.3928413,-5.2284832,1,0.07337,31405200000.0,0.5725,2.16727,7.36482,24.4437,0,,
7837,34.2752419,-5.230155,1,0.003151,2916140000.0,0.8202,0.282461,0.546443,0.798336,0,,
7839,34.3846474,-5.2302566,1,0.007276,52129300000.0,1.6735,0.393199,0.615236,0.674777,0,,
7845,34.3338432,-5.2297707,1,0.01086,82990100000.0,1.9792,0.225481,0.337462,0.3261,0,,
